Cell	Parent
5085	-1
4982	5085
4888	4982
5105	4888
5072	5105
5111	5072
5100	5111
5103	5100
4971	5103
5077	4971
5098	5077
5123	5098
5118	5123
5112	5118
5101	5112
5083	5101
5075	5083
5036	5075
5070	5036
5025	5070
5113	5025
5124	5113
5087	5124
5057	5087
5028	5057
4975	5028
4967	4975
5071	4967
5052	5071
5050	5052
4989	5050
5119	4989
5115	5119
5108	5115
5094	5108
5069	5094
5086	5069
5084	5086
4965	5084
5060	4965
5081	5060
5066	5081
5022	5066
5063	5022
5121	5063
5125	5121
5116	5125
5107	5116
5106	5107
5114	5106
5127	5114
5117	5127
5046	5117
5091	5046
5082	5091
5051	5082
5092	5051
5093	5092
5090	5093
5089	5090
5088	5089
5054	5088
5058	5054
5122	5058
5110	5122
5056	5110
5126	5056
5097	5126
4821	5097
4949	4821
5068	4949
5010	5068
5030	5010
4868	5030
5055	4868
5049	5055
5048	5049
5045	5048
5037	5045
5042	5037
5034	5042
5031	5034
5026	5031
4857	5026
5047	4857
5038	5047
5017	5038
4980	5017
5099	4980
5064	5099
5006	5064
5120	5006
4904	5120
5040	4904
5029	5040
5104	5029
5078	5104
5062	5078
5015	5062
4960	5015
4948	4960
5067	4948
5109	5067
4936	5109
4973	4936
5007	4973
4796	5007
4750	4796
4970	4750
4964	4970
4775	4964
5076	4775
4859	5076
4848	4859
4835	4848
4847	4835
5074	4847
4862	5074
4843	4862
4831	4843
4828	4831
4822	4828
5013	4822
5059	5013
5043	5059
5023	5043
5020	5023
5016	5020
4962	5016
5095	4962
4954	5095
4953	4954
4952	4953
4938	4952
4926	4938
4939	4926
5080	4939
5096	5080
4998	5096
4910	4998
4932	4910
4969	4932
4963	4969
4959	4963
4945	4959
4928	4945
4874	4928
4911	4874
4924	4911
5002	4924
4923	5002
4999	4923
5032	4999
5024	5032
4894	5024
5005	4894
4896	5005
4884	4896
4879	4884
4806	4879
4869	4806
4838	4869
5009	4838
4767	5009
4743	4767
4795	4743
4830	4795
4819	4830
4824	4819
4804	4824
4798	4804
4771	4798
4774	4771
4902	4774
4882	4902
4890	4882
4992	4890
5001	4992
5004	5001
5102	5004
4993	5102
4895	4993
4836	4895
4768	4836
4656	4768
4978	4656
4968	4978
4946	4968
4986	4946
4908	4986
4665	4908
4909	4665
4813	4909
4725	4813
4723	4725
4758	4723
5041	4758
5019	5041
5027	5019
5021	5027
5018	5021
5014	5018
5011	5014
5008	5011
4961	5008
4955	4961
4940	4955
4996	4940
4947	4996
4905	4947
4925	4905
4640	4925
4892	4640
4919	4892
4657	4919
4833	4657
5039	4833
4985	5039
4979	4985
4900	4979
4941	4900
4907	4941
4885	4907
4995	4885
4994	4995
4976	4994
4922	4976
4881	4922
4991	4881
4906	4991
4886	4906
4878	4886
4956	4878
4754	4956
4641	4754
4648	4641
4627	4648
4579	4627
4735	4579
4762	4735
4660	4762
4649	4660
4990	4649
4863	4990
4785	4863
4951	4785
4918	4951
4984	4918
4958	4984
4873	4958
4916	4873
4957	4916
4997	4957
4966	4997
4981	4966
4988	4981
4983	4988
4931	4983
4977	4931
4972	4977
5044	4972
5065	5044
4756	5065
4810	4756
4856	4810
4842	4856
4891	4842
4818	4891
4875	4818
4815	4875
4864	4815
4793	4864
4855	4793
4880	4855
4733	4880
4696	4733
4761	4696
4765	4761
4705	4765
4889	4705
4854	4889
4794	4854
4759	4794
4709	4759
4742	4709
4740	4742
4728	4740
4783	4728
4751	4783
4814	4751
4860	4814
4846	4860
4845	4846
4844	4845
4827	4844
4812	4827
4808	4812
4616	4808
4782	4616
5053	4782
5003	5053
5079	5003
4893	5079
4887	4893
5000	4887
4950	5000
4942	4950
4826	4942
4917	4826
4913	4917
4866	4913
4867	4866
4801	4867
4834	4801
4731	4834
4720	4731
4807	4720
4817	4807
5012	4817
4840	5012
4935	4840
4852	4935
4853	4852
4825	4853
4861	4825
4858	4861
4865	4858
4849	4865
4823	4849
4816	4823
4841	4816
5035	4841
4791	5035
4811	4791
4803	4811
4851	4803
4788	4851
4594	4788
4805	4594
4850	4805
4746	4850
4713	4746
4729	4713
4797	4729
4769	4797
4708	4769
4722	4708
4644	4722
4473	4644
4780	4473
4672	4780
4511	4672
4663	4511
4436	4663
4643	4436
4602	4643
4706	4602
4738	4706
4715	4738
4749	4715
4683	4749
4676	4683
4633	4676
4870	4633
4912	4870
4883	4912
4772	4883
4784	4772
4734	4784
4753	4734
4871	4753
4914	4871
4934	4914
4929	4934
4809	4929
4634	4809
4548	4634
4666	4548
4876	4666
4760	4876
4799	4760
4581	4799
4773	4581
4872	4773
4920	4872
4764	4920
4712	4764
4730	4712
4687	4730
4744	4687
4664	4744
4724	4664
4556	4724
4650	4556
4737	4650
4645	4737
4531	4645
4721	4531
4631	4721
4502	4631
4517	4502
4635	4517
4603	4635
4766	4603
4535	4766
4480	4535
4477	4480
4432	4477
4630	4432
4632	4630
4549	4632
4636	4549
4701	4636
4790	4701
4787	4790
4820	4787
4802	4820
4792	4802
4732	4792
4839	4732
4832	4839
4580	4832
4684	4580
4454	4684
4800	4454
4786	4800
4739	4786
4781	4739
4779	4781
4671	4779
4678	4671
4604	4678
4600	4604
4789	4600
4763	4789
4716	4763
4694	4716
4587	4694
4472	4587
4457	4472
4553	4457
4562	4553
4692	4562
4512	4692
4612	4512
4667	4612
4615	4667
4599	4615
4519	4599
4610	4519
4593	4610
4539	4593
4537	4539
4532	4537
4489	4532
4485	4489
4411	4485
4407	4411
4424	4407
4391	4424
4386	4391
4481	4386
4574	4481
4573	4574
4524	4573
4522	4524
4466	4522
4461	4466
4585	4461
4595	4585
4777	4595
4776	4777
4654	4776
4659	4654
4652	4659
4642	4652
4572	4642
4747	4572
4770	4747
4711	4770
4700	4711
4693	4700
4741	4693
4690	4741
4837	4690
4614	4837
4778	4614
4718	4778
4699	4718
4719	4699
4703	4719
4717	4703
4726	4717
4714	4726
4675	4714
4680	4675
4670	4680
4707	4670
4702	4707
4710	4702
4679	4710
4567	4679
4387	4567
4121	4387
4618	4121
4686	4618
4685	4686
4592	4685
4673	4592
4697	4673
4617	4697
4689	4617
4757	4689
4974	4757
4927	4974
4930	4927
4921	4930
4601	4921
4681	4601
4691	4681
4658	4691
4653	4658
4752	4653
4661	4752
4655	4661
4629	4655
4748	4629
4646	4748
4688	4646
4674	4688
4620	4674
4583	4620
4558	4583
4589	4558
4514	4589
4525	4514
4668	4525
4605	4668
4608	4605
4520	4608
4597	4520
4563	4597
4508	4563
4414	4508
4496	4414
4523	4496
4543	4523
4736	4543
4829	4736
4903	4829
5033	4903
4755	5033
4639	4755
4566	4639
4745	4566
4544	4745
4547	4544
4431	4547
4534	4431
4624	4534
4444	4624
4403	4444
4478	4403
4385	4478
4561	4385
4497	4561
4564	4497
4576	4564
4571	4576
4669	4571
4584	4669
4619	4584
4682	4619
4611	4682
4596	4611
4607	4596
4613	4607
4677	4613
4704	4677
4609	4704
4570	4609
4455	4570
4465	4455
4350	4465
4322	4350
4590	4322
4598	4590
4545	4598
4527	4545
4390	4527
4462	4390
4542	4462
4540	4542
4377	4540
4378	4377
4380	4378
4458	4380
4453	4458
4367	4453
4438	4367
4110	4438
4349	4110
4382	4349
4591	4382
4569	4591
4467	4569
4568	4467
4460	4568
4443	4460
4381	4443
4361	4381
4124	4361
4449	4124
4372	4449
4445	4372
4375	4445
4371	4375
4541	4371
4427	4541
4434	4427
4510	4434
4346	4510
4341	4346
4332	4341
4324	4332
4270	4324
4420	4270
4621	4420
4552	4621
4503	4552
4476	4503
4419	4476
4373	4419
4299	4373
4334	4299
4528	4334
4625	4528
4488	4625
4413	4488
4491	4413
4486	4491
4577	4486
4493	4577
4507	4493
